word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition
从前,從前,cóng qián,cong2 qian2,3,三级,previously/formerly/once upon a time
从事,從事,cóng shì,cong2 shi4,3,三级,to go for/to engage in/to undertake/to deal with/to handle/to do
存,存,cún,cun2,3,三级,to exist/to deposit/to store/to keep/to survive
村,"邨,村",cūn,cun1,3,三级,variant of 村[cun1]
存在,存在,cún zài,cun2 zai4,3,三级,to exist/to be/existence
错误,錯誤,cuò wù,cuo4 wu4,3,三级,mistaken; false; wrong/error; mistake/CL:個|个[ge4]
大概,大概,dà gài,da4 gai4,3,三级,roughly/probably/rough/approximate/about/general idea
打破,打破,dǎ pò,da3 po4,3,三级,to break; to smash
大使馆,大使館,dà shǐ guǎn,da4 shi3 guan3,3,三级,"embassy/CL:座[zuo4],個|个[ge4]"
达到,達到,dá dào,da2 dao4,3,三级,to reach; to achieve; to attain
打听,打聽,dǎ tīng,da3 ting1,3,三级,to ask about/to make some inquiries/to ask around
大约,大約,dà yuē,da4 yue1,3,三级,approximately/probably
代,代,dài,dai4,3,三级,to substitute/to act on behalf of others/to replace/generation/dynasty/age/period/(historical) era/(geological) eon
代表,代表,dài biǎo,dai4 biao3,3,三级,"representative/delegate/CL:位[wei4],個|个[ge4],名[ming2]/to represent/to stand for/on behalf of/in the name of"
代表团,代表團,dài biǎo tuán,dai4 biao3 tuan2,3,三级,delegation/CL:個|个[ge4]
带动,帶動,dài dòng,dai4 dong4,3,三级,to spur; to provide impetus; to drive
大夫,大夫,dài fū,dai4 fu1,3,三级,doctor/physician
带领,帶領,dài lǐng,dai4 ling3,3,三级,to guide/to lead
单元,單元,dān yuán,dan1 yuan2,3,三级,unit (forming an entity)/element/(in a residential building) entrance or staircase
当初,當初,dāng chū,dang1 chu1,3,三级,at that time/originally
当地,當地,dāng dì,dang1 di4,3,三级,local
当然,當然,dāng rán,dang1 ran2,3,三级,only natural/as it should be/certainly/of course/without doubt
当中,當中,dāng zhōng,dang1 zhong1,3,三级,among/in the middle/in the center
到达,到達,dào dá,dao4 da2,3,三级,to reach; to arrive
到底,到底,dào dǐ,dao4 di3,3,三级,finally/in the end/when all is said and done/after all/to the end/to the last
刀,刀,dāo,dao1,3,三级,knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs
导演,導演,dǎo yǎn,dao3 yan3,3,三级,to direct/director (film etc)
得分,得分,dé fēn,de2 fen1,3,三级,to score
等待,等待,děng dài,deng3 dai4,3,三级,to wait; to wait for
地区,地區,dì qū,di4 qu1,3,三级,"local/regional/district (not necessarily formal administrative unit)/region/area/as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)/CL:個|个[ge4]"
底下,底下,dǐ xià,di3 xia4,3,三级,the location below sth/afterwards
电视剧,電視劇,diàn shì jù,dian4 shi4 ju4,3,三级,TV series/TV drama/CL:部[bu4]
电视台,電視臺,diàn shì tái,dian4 shi4 tai2,3,三级,television station/CL:個|个[ge4]
电台,電臺,diàn tái,dian4 tai2,3,三级,"transmitter-receiver/broadcasting station/radio station/CL:個|个[ge4],家[jia1]"
电子邮件,電子郵件,diàn zi yóu jiàn,dian4 zi you2 jian4,3,三级,"email/CL:封[feng1],份[fen4]"
调查,調查,diào chá,diao4 cha2,3,三级,"investigation/inquiry/to investigate/to survey/survey/(opinion) poll/CL:項|项[xiang4],個|个[ge4]"
调,調,diào,diao4,3,三级,to harmonize/to reconcile/to blend/to suit well/to adjust/to regulate/to season (food)/to provoke/to incite
调,調,diào,diao4,3,三级,to harmonize/to reconcile/to blend/to suit well/to adjust/to regulate/to season (food)/to provoke/to incite
订,訂,dìng,ding4,3,三级,to agree/to conclude/to draw up/to subscribe to (a newspaper etc)/to order
定期,定期,dìng qī,ding4 qi1,3,三级,at set dates/at regular intervals/periodic/limited to a fixed period of time/fixed term
东部,東部,dōng bù,dong1 bu4,3,三级,the east/eastern part
动力,動力,dòng lì,dong4 li4,3,三级,motive power/force/(fig.) motivation/impetus
动人,動人,dòng rén,dong4 ren2,3,三级,touching/moving
读者,讀者,dú zhě,du2 zhe3,3,三级,reader
断,斷,duàn,duan4,3,三级,to break/to snap/to cut off/to give up or abstain from sth/to judge/(usu. used in the negative) absolutely/definitely/decidedly
短处,短處,duǎn chù,duan3 chu4,3,三级,shortcoming/defect/fault/one's weak points
短裤,短褲,duǎn kù,duan3 ku4,3,三级,short pants/shorts
短期,短期,duǎn qī,duan3 qi1,3,三级,short term/short-term
对待,對待,duì dài,dui4 dai4,3,三级,to treat/treatment
对方,對方,duì fāng,dui4 fang1,3,三级,the other person; the other side; the other party
对手,對手,duì shǒu,dui4 shou3,3,三级,opponent/rival/competitor/(well-matched) adversary/match
对象,對象,duì xiàng,dui4 xiang4,3,三级,target; object/partner; boyfriend; girlfriend/CL:個|个[ge4]
队员,隊員,duì yuán,dui4 yuan2,3,三级,team member
顿,頓,dùn,dun4,3,三级,"to stop/to pause/to arrange/to lay out/to kowtow/to stamp (one's foot)/at once/classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
发表,發表,fā biǎo,fa1 biao3,3,三级,to issue/to publish
发出,發出,fā chū,fa1 chu1,3,三级,"to issue (an order, decree etc); to send out; to dispatch/to produce (a sound); to let out (a laugh)"
发达,發達,fā dá,fa1 da2,3,三级,well-developed; flourishing/to develop; to promote; to expand/(literary) to achieve fame and fortune; to prosper
发动,發動,fā dòng,fa1 dong4,3,三级,to start/to launch/to unleash/to mobilize/to arouse
发明,發明,fā míng,fa1 ming2,3,三级,to invent/an invention/CL:個|个[ge4]
发生,發生,fā shēng,fa1 sheng1,3,三级,to happen; to occur; to take place; to break out
发送,發送,fā sòng,fa1 song4,3,三级,to transmit/to dispatch/to issue (an official document or credential)
发言,發言,fā yán,fa1 yan2,3,三级,to make a speech/statement/utterance/CL:個|个[ge4]
发展,發展,fā zhǎn,fa1 zhan3,3,三级,development/growth/to develop/to grow/to expand
反对,反對,fǎn duì,fan3 dui4,3,三级,to oppose; to be against; to object to
反复,"反覆,反復",fǎn fù,fan3 fu4,3,三级,repeatedly/over and over/to upend/unstable/to come and go/(of an illness) to return
范围,範圍,fàn wéi,fan4 wei2,3,三级,range/scope/limit/extent/CL:個|个[ge4]
反应,反應,fǎn yìng,fan3 ying4,3,三级,to react/to respond/reaction/response/reply/chemical reaction/CL:個|个[ge4]
反正,反正,fǎn zhèng,fan3 zheng4,3,三级,anyway/in any case/to come over from the enemy's side
防,防,fáng,fang2,3,三级,to protect/to defend/to guard against/to prevent
放到,放到,fàng dào,fang4 dao4,3,三级,put to
方式,方式,fāng shì,fang1 shi4,3,三级,way; manner; style; mode; pattern/CL:個|个[ge4]
房东,房東,fáng dōng,fang2 dong1,3,三级,landlord
房屋,房屋,fáng wū,fang2 wu1,3,三级,"house/building/CL:所[suo3],套[tao4]"
房租,房租,fáng zū,fang2 zu1,3,三级,rent for a room or house
访问,訪問,fǎng wèn,fang3 wen4,3,三级,to visit/to call on/to interview/CL:次[ci4]
防止,防止,fáng zhǐ,fang2 zhi3,3,三级,to prevent/to guard against/to take precautions
费,費,fèi,fei4,3,三级,to cost/to spend/fee/wasteful/expenses
飞行,飛行,fēi xíng,fei1 xing2,3,三级,(of planes etc) to fly/flying/flight/aviation
费用,費用,fèi yòng,fei4 yong4,3,三级,"cost/expenditure/expense/CL:筆|笔[bi3],個|个[ge4]"
分别,分別,fēn bié,fen1 bie2,3,三级,to part; to leave each other/to distinguish; to tell apart/difference; distinction/in different ways; differently/separately; individually
分配,分配,fēn pèi,fen1 pei4,3,三级,to distribute/to assign/to allocate/to partition (a hard drive)
分组,分組,fēn zǔ,fen1 zu3,3,三级,to divide into groups/group (formed from a larger group)/subgroup/(computer networking) packet
丰富,豐富,fēng fù,feng1 fu4,3,三级,to enrich/rich/plentiful/abundant
风险,風險,fēng xiǎn,feng1 xian3,3,三级,risk; hazard
否定,否定,fǒu dìng,fou3 ding4,3,三级,to negate/to deny/to reject/negative (answer)/negation
否认,否認,fǒu rèn,fou3 ren4,3,三级,to declare to be untrue/to deny
付,付,fù,fu4,3,三级,to pay/to hand over to/classifier for pairs or sets of things
富,富,fù,fu4,3,三级,rich/abundant/wealthy
福,福,fú,fu2,3,三级,good fortune/happiness/luck
父母,父母,fù mǔ,fu4 mu3,3,三级,father and mother; parents
父亲,父親,fù qīn,fu4 qin1,3,三级,father/also pr. [fu4 qin5]/CL:個|个[ge4]
复印,複印,fù yìn,fu4 yin4,3,三级,to photocopy/to duplicate a document
复杂,複雜,fù zá,fu4 za2,3,三级,complicated; complex
负责,負責,fù zé,fu4 ze2,3,三级,to be responsible for; to be in charge of; to bear responsibility for/conscientious
服装,服裝,fú zhuāng,fu2 zhuang1,3,三级,dress/clothing/costume/clothes/CL:身[shen1]
概念,概念,gài niàn,gai4 nian4,3,三级,concept/idea/CL:個|个[ge4]
改进,改進,gǎi jìn,gai3 jin4,3,三级,to improve; to make better/improvement/CL:個|个[ge4]
改造,改造,gǎi zào,gai3 zao4,3,三级,to transform/to reform/to remodel/to remold
敢,敢,gǎn,gan3,3,三级,to dare/daring/(polite) may I venture
感情,感情,gǎn qíng,gan3 qing2,3,三级,"emotion/sentiment/affection/feelings between two persons/CL:個|个[ge4],種|种[zhong3]"
感受,感受,gǎn shòu,gan3 shou4,3,三级,to sense/perception/to feel (through the senses)/to experience/a feeling/an impression/an experience
干吗,幹嗎,gàn má,gan4 ma2,3,三级,see 幹嘛|干嘛[gan4 ma2]
感冒,感冒,gǎn mào,gan3 mao4,3,三级,"to catch cold/(common) cold/CL:場|场[chang2],次[ci4]/(coll.) to be interested in (often used in the negative)/(Tw) to detest/can't stand"
赶,趕,gǎn,gan3,3,三级,to overtake; to catch up with/to hurry; to rush/to try to catch (the bus etc)/to drive (cattle etc) forward; to drive (sb) away/to avail oneself of (an opportunity)/until; by (a certain time)
赶到,趕到,gǎn dào,gan3 dao4,3,三级,to hurry (to some place)
赶紧,趕緊,gǎn jǐn,gan3 jin3,3,三级,hurriedly/without delay
赶快,趕快,gǎn kuài,gan3 kuai4,3,三级,quickly; at once
告别,告別,gào bié,gao4 bie2,3,三级,to leave; to part from/to bid farewell to; to say goodbye to
高速,高速,gāo sù,gao1 su4,3,三级,high speed/expressway (abbr. for 高速公路[gao1 su4 gong1 lu4])
高速公路,高速公路,gāo sù gōng lù,gao1 su4 gong1 lu4,3,三级,expressway; highway; freeway
各,各,gè,ge4,3,三级,each/every
各地,各地,gè dì,ge4 di4,3,三级,in all parts of (a country)/various regions
歌迷,歌迷,gē mí,ge1 mi2,3,三级,fan of a singer
个人,個人,gè rén,ge4 ren2,3,三级,individual/personal/oneself
歌声,歌聲,gē shēng,ge1 sheng1,3,三级,singing voice/fig. original voice of a poet
歌手,歌手,gē shǒu,ge1 shou3,3,三级,singer
各位,各位,gè wèi,ge4 wei4,3,三级,"everybody/all (guests, colleagues etc)/all of you"
个性,個性,gè xìng,ge4 xing4,3,三级,individuality/personality
各种,各種,gè zhǒng,ge4 zhong3,3,三级,every kind of; all kinds of; various
各自,各自,gè zì,ge4 zi4,3,三级,each/respective/apiece
根本,根本,gēn běn,gen1 ben3,3,三级,fundamental/basic/root/simply/absolutely (not)/(not) at all/CL:個|个[ge4]
更加,更加,gèng jiā,geng4 jia1,3,三级,more (than sth else)/even more
公布,公佈,gōng bù,gong1 bu4,3,三级,to announce; to make public; to publish
工厂,工廠,gōng chǎng,gong1 chang3,3,三级,"factory/CL:家[jia1],座[zuo4]"
工程师,工程師,gōng chéng shī,gong1 cheng2 shi1,3,三级,"engineer/CL:個|个[ge4],位[wei4],名[ming2]"
功夫,功夫,gōng fū,gong1 fu1,3,三级,skill/art/kung fu/labor/effort
工夫,工夫,gōng fū,gong1 fu1,3,三级,"period of time (may be months, or mere seconds)/spare time/skill/labor/effort"
公共,公共,gōng gòng,gong1 gong4,3,三级,public; common; communal
工具,工具,gōng jù,gong1 ju4,3,三级,tool/instrument/utensil/means (to achieve a goal etc)
公开,公開,gōng kāi,gong1 kai1,3,三级,open; overt; public/to make public; to release
功课,功課,gōng kè,gong1 ke4,3,三级,homework/assignment/task/classwork/lesson/study/CL:門|门[men2]
公民,公民,gōng mín,gong1 min2,3,三级,citizen
功能,功能,gōng néng,gong1 neng2,3,三级,function; capability
共同,共同,gòng tóng,gong4 tong2,3,三级,common/joint/jointly/together/collaborative
公务员,公務員,gōng wù yuán,gong1 wu4 yuan2,3,三级,functionary/office-bearer
工业,工業,gōng yè,gong1 ye4,3,三级,industry
共有,共有,gòng yǒu,gong4 you3,3,三级,to have altogether/in all
工资,工資,gōng zī,gong1 zi1,3,三级,"wages; pay/CL:個|个[ge4],份[fen4]"
古,古,gǔ,gu3,3,三级,ancient/old/paleo-
古代,古代,gǔ dài,gu3 dai4,3,三级,ancient times
姑娘,姑娘,gū niáng,gu1 niang2,3,三级,girl/young woman/young lady/daughter/paternal aunt (old)/CL:個|个[ge4]
故乡,故鄉,gù xiāng,gu4 xiang1,3,三级,home/homeland/native place/CL:個|个[ge4]
挂,掛,guà,gua4,3,三级,to hang or suspend (from a hook etc)/to hang up (the phone)/(of a line) to be dead/to be worried or concerned/to make a phone call (dialect)/to register or record/classifier for sets or clusters of objects/(slang) to kill/to die/to be finished/to fail (an exam)
管,"管,筦",guǎn,guan3,3,三级,to take care (of)/to control/to manage/to be in charge of/to look after/to run/to care about/tube/pipe/woodwind/classifier for tube-shaped objects/particle similar to 把[ba3] in 管...叫 constructions/writing brush/(coll.) to/towards
观察,觀察,guān chá,guan1 cha2,3,三级,to observe; to watch; to survey
观看,觀看,guān kàn,guan1 kan4,3,三级,to watch; to view
管理,管理,guǎn lǐ,guan3 li3,3,三级,to supervise/to manage/to administer/management/administration/CL:個|个[ge4]
观念,觀念,guān niàn,guan1 nian4,3,三级,notion/thought/concept/sense/views/ideology/general impressions
关系,"關係,關系",guān xì,guan1 xi4,3,三级,variant of 關係|关系[guan1 xi5]
观众,觀眾,guān zhòng,guan1 zhong4,3,三级,spectators/audience/visitors (to an exhibition etc)
关注,關注,guān zhù,guan1 zhu4,3,三级,to pay attention to; to follow sth closely; to follow (on social media)/concern; interest; attention
广播,廣播,guǎng bō,guang3 bo1,3,三级,broadcast/CL:個|个[ge4]/broadcasting/to broadcast/(formal) to propagate/to publicize
广大,廣大,guǎng dà,guang3 da4,3,三级,(of an area) vast or extensive/large-scale/widespread/(of people) numerous
光,光,guāng,guang1,3,三级,light; ray (CL:道[dao4])/bright; shiny/only; merely/used up; finished/to leave (a part of the body) uncovered
光明,光明,guāng míng,guang1 ming2,3,三级,light/radiance/(fig.) bright (prospects etc)/openhearted
规定,規定,guī dìng,gui1 ding4,3,三级,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota)/regulations; rules; provisions; stipulations
规范,規範,guī fàn,gui1 fan4,3,三级,norm/standard/specification/regulation/rule/within the rules/to fix rules/to regulate/to specify
过程,過程,guò chéng,guo4 cheng2,3,三级,course of events/process/CL:個|个[ge4]
果然,果然,guǒ rán,guo3 ran2,3,三级,really/sure enough/as expected/if indeed
果汁,果汁,guǒ zhī,guo3 zhi1,3,三级,fruit juice
国内,國內,guó nèi,guo2 nei4,3,三级,domestic/internal (to a country)/civil
国庆,國慶,guó qìng,guo2 qing4,3,三级,National Day
过去,過去,guò qù,guo4 qu4,3,三级,(verb suffix)
哈哈,哈哈,hā hā,ha1 ha1,3,三级,(onom.) laughing out loud
海关,海關,hǎi guān,hai3 guan1,3,三级,customs (i.e. border crossing inspection)/CL:個|个[ge4]
害怕,害怕,hài pà,hai4 pa4,3,三级,to be afraid; to be scared
好好,好好,hǎo hǎo,hao3 hao3,3,三级,well/carefully/nicely/properly
好奇,好奇,hào qí,hao4 qi2,3,三级,inquisitive/curious/inquisitiveness/curiosity
合法,合法,hé fǎ,he2 fa3,3,三级,lawful/legitimate/legal
合格,合格,hé gé,he2 ge2,3,三级,to meet the standard required/qualified/eligible (voter etc)
合,"合,閤",hé,he2,3,三级,variant of 合[he2]
合理,合理,hé lǐ,he2 li3,3,三级,rational; reasonable; sensible; fair
和平,和平,hé píng,he2 ping2,3,三级,peace/peaceful
合作,合作,hé zuò,he2 zuo4,3,三级,to cooperate; to collaborate; to work together
红茶,紅茶,hóng chá,hong2 cha2,3,三级,"black tea/CL:杯[bei1],壺|壶[hu2]"
红酒,紅酒,hóng jiǔ,hong2 jiu3,3,三级,red wine
后果,後果,hòu guǒ,hou4 guo3,3,三级,consequences/aftermath
后面,後面,hòu miàn,hou4 mian4,3,三级,the back; the rear; the last bit/behind; near the end; at the back/later; afterwards
后年,後年,hòu nián,hou4 nian2,3,三级,the year after next
互联网,互聯網,hù lián wǎng,hu4 lian2 wang3,3,三级,Internet
互相,互相,hù xiāng,hu4 xiang1,3,三级,each other/mutually/mutual
划船,划船,huá chuán,hua2 chuan2,3,三级,to row a boat/rowing boat/rowing (sport)
化,化,huà,hua4,3,三级,to make into/to change into/-ization/to ... -ize/to transform/abbr. for 化學|化学[hua4 xue2]
话剧,話劇,huà jù,hua4 ju4,3,三级,"stage play/modern drama/CL:臺|台[tai2],部[bu4]"
华人,華人,huá rén,hua2 ren2,3,三级,ethnic Chinese person or people
话题,話題,huà tí,hua4 ti2,3,三级,subject (of a talk or conversation)/topic
环,環,huán,huan2,3,三级,ring/hoop/loop/(chain) link/classifier for scores in archery etc/to surround/to encircle/to hem in
环保,環保,huán bǎo,huan2 bao3,3,三级,environmental protection/environmentally friendly/abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4]
环境,環境,huán jìng,huan2 jing4,3,三级,environment/circumstances/surroundings/CL:個|个[ge4]/ambient
欢乐,歡樂,huān lè,huan1 le4,3,三级,gaiety/gladness/glee/merriment/pleasure/happy/joyous/gay
会议,會議,huì yì,hui4 yi4,3,三级,"meeting/conference/CL:場|场[chang3],屆|届[jie4]"
会员,會員,huì yuán,hui4 yuan2,3,三级,member
活,活,huó,huo2,3,三级,to live/alive/living/work/workmanship
火,火,huǒ,huo3,3,三级,fire/urgent/ammunition/fiery or flaming/internal heat (Chinese medicine)/hot (popular)/classifier for military units (old)/Kangxi radical 86
基本,基本,jī běn,ji1 ben3,3,三级,basic/fundamental/main/elementary
基本上,基本上,jī běn shàng,ji1 ben3 shang4,3,三级,basically/on the whole
基础,基礎,jī chǔ,ji1 chu3,3,三级,base; foundation; basis/basic; fundamental
极了,極了,jí le,ji2 le,3,三级,extremely/exceedingly
记录,記錄,jì lù,ji4 lu4,3,三级,to record/record (written account)/note-taker/record (in sports etc)/CL:個|个[ge4]
纪录,紀錄,jì lù,ji4 lu4,3,三级,"variant of 記錄|记录[ji4 lu4] (but in Taiwan, not for the verb sense ""to record"")"
纪念,紀念,jì niàn,ji4 nian4,3,三级,to commemorate; to honor the memory of/memento; keepsake; souvenir
及时,及時,jí shí,ji2 shi2,3,三级,timely; at the right time/promptly; without delay
技术,技術,jì shù,ji4 shu4,3,三级,"technology; technique; skill/CL:門|门[men2],種|种[zhong3],項|项[xiang4]"
计算,計算,jì suàn,ji4 suan4,3,三级,to count/to calculate/to compute/CL:個|个[ge4]
集体,集體,jí tǐ,ji2 ti3,3,三级,collective (decision)/joint (effort)/a group/a team/en masse/as a group
机器,機器,jī qì,ji1 qi4,3,三级,"machine/CL:臺|台[tai2],部[bu4],個|个[ge4]"
继续,繼續,jì xù,ji4 xu4,3,三级,to continue/to proceed with/to go on with
记者,記者,jì zhě,ji4 zhe3,3,三级,reporter; journalist/CL:個|个[ge4]
积极,積極,jī jí,ji1 ji2,3,三级,active/energetic/vigorous/positive (outlook)/proactive
集中,集中,jí zhōng,ji2 zhong1,3,三级,to concentrate/to centralize/to focus/centralized/concentrated/to put together
架,架,jià,jia4,3,三级,"to support/frame/rack/framework/classifier for planes, large vehicles, radios etc"
价格,價格,jià gé,jia4 ge2,3,三级,price/CL:個|个[ge4]
加工,加工,jiā gōng,jia1 gong1,3,三级,to process/processing/working (of machinery)
家具,家具,jiā jù,jia1 ju4,3,三级,"furniture/CL:件[jian4],套[tao4]"
加快,加快,jiā kuài,jia1 kuai4,3,三级,to accelerate/to speed up
价钱,價錢,jià qián,jia4 qian2,3,三级,price
加强,加強,jiā qiáng,jia1 qiang2,3,三级,to reinforce; to strengthen; to enhance
家属,家屬,jiā shǔ,jia1 shu3,3,三级,family member/(family) dependent
家乡,家鄉,jiā xiāng,jia1 xiang1,3,三级,hometown/native place/CL:個|个[ge4]
价值,價值,jià zhí,jia4 zhi2,3,三级,"value/worth/fig. values (ethical, cultural etc)/CL:個|个[ge4]"
建,建,jiàn,jian4,3,三级,to establish/to found/to set up/to build/to construct
建成,建成,jiàn chéng,jian4 cheng2,3,三级,to establish/to build
坚持,堅持,jiān chí,jian1 chi2,3,三级,to persevere with/to persist in/to insist on
简单,簡單,jiǎn dān,jian3 dan1,3,三级,simple/not complicated
坚决,堅決,jiān jué,jian1 jue2,3,三级,firm; resolute; determined
建立,建立,jiàn lì,jian4 li4,3,三级,to establish/to set up/to found
坚强,堅強,jiān qiáng,jian1 qiang2,3,三级,staunch/strong
建设,建設,jiàn shè,jian4 she4,3,三级,to build; to construct; to establish; to develop; to institute
建议,建議,jiàn yì,jian4 yi4,3,三级,"to propose; to suggest; to recommend/proposal; suggestion; recommendation/CL:個|个[ge4],點|点[dian3]"
简直,簡直,jiǎn zhí,jian3 zhi2,3,三级,simply; really
将近,將近,jiāng jìn,jiang1 jin4,3,三级,almost/nearly/close to
将来,將來,jiāng lái,jiang1 lai2,3,三级,in the future/future/the future/CL:個|个[ge4]
叫,"叫,呌",jiào,jiao4,3,三级,variant of 叫[jiao4]
较,較,jiào,jiao4,3,三级,to compare/to dispute/compared to/(before adj.) relatively/comparatively/rather/also pr. [jiao3]
交费,交費,jiāo fèi,jiao1 fei4,3,三级,to pay a fee
教材,教材,jiào cái,jiao4 cai2,3,三级,teaching material/CL:本[ben3]
教练,教練,jiào liàn,jiao4 lian4,3,三级,"instructor/sports coach/trainer/CL:個|个[ge4],位[wei4],名[ming2]"
交警,交警,jiāo jǐng,jiao1 jing3,3,三级,traffic police (abbr. for 交通警察[jiao1 tong1 jing3 cha2])
交流,交流,jiāo liú,jiao1 liu2,3,三级,to exchange/exchange/communication/interaction/to have social contact (with sb)
交往,交往,jiāo wǎng,jiao1 wang3,3,三级,to associate (with)/to have contact (with)/to hang out (with)/to date/(interpersonal) relationship/association/contact
交易,交易,jiāo yì,jiao1 yi4,3,三级,to deal; to trade; to transact/transaction; deal/CL:筆|笔[bi3]
结合,結合,jié hé,jie2 he2,3,三级,to combine/to link/to integrate/binding/CL:次[ci4]
结婚,結婚,jié hūn,jie2 hun1,3,三级,to marry/to get married/CL:次[ci4]
解决,解決,jiě jué,jie3 jue2,3,三级,"to solve; to resolve; to settle (a problem)/to eliminate; to wipe out (an enemy, bandits etc)"
解开,解開,jiě kāi,jie3 kai1,3,三级,to untie/to undo/to solve (a mystery)
结实,結實,jiē shí,jie1 shi2,3,三级,rugged/sturdy/strong/durable/buff (physique)
结束,結束,jié shù,jie2 shu4,3,三级,termination/to finish/to end/to conclude/to close
接待,接待,jiē dài,jie1 dai4,3,三级,"to receive; to entertain; to host (guests, visitors or clients)"
接近,接近,jiē jìn,jie1 jin4,3,三级,to approach; to get close to
节约,節約,jié yuē,jie2 yue1,3,三级,to economize/to conserve (resources)/economy/frugal
紧,緊,jǐn,jin3,3,三级,tight/strict/close at hand/near/urgent/tense/hard up/short of money/to tighten
进步,進步,jìn bù,jin4 bu4,3,三级,progress; improvement/to improve; to progress/CL:個|个[ge4]
仅,僅,jǐn,jin3,3,三级,barely/only/merely
紧急,緊急,jǐn jí,jin3 ji2,3,三级,urgent/emergency
仅仅,僅僅,jǐn jǐn,jin3 jin3,3,三级,barely/only/merely/only (this and nothing more)
金,金,jīn,jin1,3,三级,gold/chemical element Au/generic term for lustrous and ductile metals/money/golden/highly respected/one of the eight categories of ancient musical instruments 八音[ba1 yin1]
金牌,金牌,jīn pái,jin1 pai2,3,三级,gold medal/CL:枚[mei2]
尽量,"儘量,盡量",jǐn liàng,jin3 liang4,3,三级,as much as possible/to the greatest extent
近期,近期,jìn qī,jin4 qi1,3,三级,near in time/in the near future/very soon/recent
进一步,進一步,jìn yí bù,jin4 yi2 bu4,3,三级,"to go a step further/(develop, understand, improve etc) more; further"
进展,進展,jìn zhǎn,jin4 zhan3,3,三级,to make headway; to make progress
紧张,緊張,jǐn zhāng,jin3 zhang1,3,三级,nervous/keyed up/intense/tense/strained/in short supply/scarce/CL:陣|阵[zhen4]
静,靜,jìng,jing4,3,三级,still/calm/quiet/not moving
警察,警察,jǐng chá,jing3 cha2,3,三级,police; police officer/CL:個|个[ge4]
经济,經濟,jīng jì,jing1 ji4,3,三级,economy/economic
经历,經歷,jīng lì,jing1 li4,3,三级,"experience/CL:個|个[ge4],次[ci4]/to experience/to go through"
经验,經驗,jīng yàn,jing1 yan4,3,三级,experience/to experience
经营,經營,jīng yíng,jing1 ying2,3,三级,to engage in (business etc); to run; to operate
京剧,京劇,jīng jù,jing1 ju4,3,三级,"Beijing opera/CL:場|场[chang3],齣|出[chu1]"
精彩,精彩,jīng cǎi,jing1 cai3,3,三级,wonderful/marvelous/brilliant
精神,精神,jīng shén,jing1 shen2,3,三级,vigor/vitality/drive/spiritual
精神,精神,jīng shén,jing1 shen2,3,三级,vigor/vitality/drive/spiritual
景色,景色,jǐng sè,jing3 se4,3,三级,scenery/scene/landscape/view
旧,舊,jiù,jiu4,3,三级,old/opposite: new 新/former/worn (with age)
久,久,jiǔ,jiu3,3,三级,(long) time/(long) duration of time
救,"救,捄",jiù,jiu4,3,三级,to save/to assist/to rescue
就是,就是,jiù shì,jiu4 shi4,3,三级,exactly; precisely/only; simply; just/(used correlatively with 也[ye3]) even; even if
就业,就業,jiù yè,jiu4 ye4,3,三级,to get a job/employment
举办,舉辦,jǔ bàn,ju3 ban4,3,三级,to conduct/to hold
剧场,劇場,jù chǎng,ju4 chang3,3,三级,theater/CL:個|个[ge4]
据说,據說,jù shuō,ju4 shuo1,3,三级,it is said that; reportedly
具体,具體,jù tǐ,ju4 ti3,3,三级,concrete; specific; detailed
具有,具有,jù yǒu,ju4 you3,3,三级,to have; to possess
决定,決定,jué dìng,jue2 ding4,3,三级,"to decide (to do something)/to resolve/decision/CL:個|个[ge4],項|项[xiang4]/certainly"
绝对,絕對,jué duì,jue2 dui4,3,三级,absolute/unconditional
决赛,決賽,jué sài,jue2 sai4,3,三级,finals (of a competition)
决心,決心,jué xīn,jue2 xin1,3,三级,determination/resolution/determined/firm and resolute/to make up one's mind/CL:個|个[ge4]
咖啡,咖啡,kā fēi,ka1 fei1,3,三级,coffee (loanword)/CL:杯[bei1]
开发,開發,kāi fā,kai1 fa1,3,三级,to exploit (a resource); to open up (for development); to develop
开放,開放,kāi fàng,kai1 fang4,3,三级,to bloom/to open/to be open (to the public)/to open up (to the outside)/to be open-minded/unrestrained by convention/unconstrained in one's sexuality
开始,開始,kāi shǐ,kai1 shi3,3,三级,to begin/beginning/to start/initial/CL:個|个[ge4]
开业,開業,kāi yè,kai1 ye4,3,三级,to open a business/to open a practice/open (for business)
开展,開展,kāi zhǎn,kai1 zhan3,3,三级,to launch/to develop/to unfold/(of an exhibition etc) to open
看起来,看起來,kàn qǐ lái,kan4 qi3 lai2,3,三级,seemingly/apparently/looks as if/appear to be/gives the impression that/seems on the face of it to be
看上去,看上去,kàn shàng qù,kan4 shang4 qu4,3,三级,it would appear/it seems (that)
考验,考驗,kǎo yàn,kao3 yan4,3,三级,to test/to put to the test/trial/ordeal
