word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition
打球,打球,dǎ qiú,da3 qiu2,1,一级,to play ball/to play with a ball
大学,大學,dà xué,da4 xue2,1,一级,university/college/CL:所[suo3]
大学生,大學生,dà xué shēng,da4 xue2 sheng1,1,一级,university student/college student
到,到,dào,dao4,1,一级,to reach; to arrive/to leave for; to go to/to (a place); until (a time); up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate; thoughtful; thorough
得到,得到,dé dào,de2 dao4,1,一级,to get; to obtain; to receive
的,的,de,de,1,一级,(bound form) bull's-eye; target
等,等,děng,deng3,1,一级,to wait for; to await/by the time; when; till/and so on; etc.; et al./(bound form) class; rank; grade/(bound form) equal to; same as/(used to end an enumeration)/(literary) (plural suffix attached to a personal pronoun or noun)
第,第,dì,di4,1,一级,"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth"")/(literary) grades in which successful candidates in the imperial examinations were placed/(old) residence of a high official/(literary) but; however/(literary) only; just"
地,地,dì,di4,1,一级,earth/ground/field/place/land/CL:片[pian4]
地,地,dì,di4,1,一级,earth/ground/field/place/land/CL:片[pian4]
弟弟,弟弟,dì dì,di4 di4,1,一级,"younger brother/CL:個|个[ge4],位[wei4]"
地点,地點,dì diǎn,di4 dian3,1,一级,place/site/location/venue/CL:個|个[ge4]
地方,地方,dì fāng,di4 fang1,1,一级,"area/place/space/room/territory/CL:處|处[chu4],個|个[ge4],塊|块[kuai4]"
地上,地上,dì shàng,di4 shang4,1,一级,on the ground/on the floor
地图,地圖,dì tú,di4 tu2,1,一级,"map/CL:張|张[zhang1],本[ben3]"
电,電,diàn,dian4,1,一级,lightning/electricity/electric (bound form)/to get (or give) an electric shock/phone call or telegram etc/to send via telephone or telegram etc
点,點,diǎn,dian3,1,一级,point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[geng1]/dot stroke in Chinese characters/classifier for items
电话,電話,diàn huà,dian4 hua4,1,一级,telephone/CL:部[bu4]/phone call/CL:通[tong1]/phone number
电脑,電腦,diàn nǎo,dian4 nao3,1,一级,computer/CL:臺|台[tai2]
电视,電視,diàn shì,dian4 shi4,1,一级,"television; TV/CL:臺|台[tai2],個|个[ge4]"
电视机,電視機,diàn shì jī,dian4 shi4 ji1,1,一级,television set/CL:臺|台[tai2]
电影,電影,diàn yǐng,dian4 ying3,1,一级,"movie; film/CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"
