hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions
叔,叔,shū,shu1,4,中等|四级,uncle/father's younger brother/husband's younger brother/Taiwan pr. [shu2]
填,填,tián,tian2,4,中等|四级,to fill or stuff/(of a form etc) to fill in
粗,粗麤,cū,cu1,4,中等|四级,remote; distant/variant of 粗[cu1]
粮,糧,liáng,liang2,4,中等|四级,grain/food/provisions/agricultural tax paid in grain
逛,逛,guàng,guang4,4,中等|四级,to stroll/to visit
浅,淺,qiǎn,qian3,4,中等|四级,shallow/light (color)
迫,迫,pò,po4,4,中等|四级,to force/to compel/to approach or go towards/urgent/pressing
惊,驚,jīng,jing1,4,中等|四级,to startle/to be frightened/to be scared/alarm
弯,彎,wān,wan1,4,中等|四级,to bend/bent/a bend; a turn (in a road etc)/CL:道[dao4]
幼,幼,yòu,you4,4,中等|四级,young
恶,惡,è,e4,4,中等|四级,to hate/to loathe/ashamed/to fear/to slander
塑,塑,sù,su4,4,中等|四级,to model (a figure) in clay
浓,濃,nóng,nong2,4,中等|四级,concentrated/dense/strong (smell etc)
遗,遺,yí,yi2,4,中等|四级,(bound form) to leave behind
笨,笨,bèn,ben4,4,中等|四级,stupid/foolish/silly/slow-witted/clumsy
延,延,yán,yan2,4,中等|四级,to prolong/to extend/to delay
阿,阿,ā,a1,4,中等|四级,(literary) to flatter; to curry favor with
姨,姨,yí,yi2,4,中等|四级,mother's sister/aunt
扫,掃,sǎo,sao3,4,中等|四级,broom
燃,燃,rán,ran2,4,中等|四级,to burn/to ignite/to light/fig. to spark off (hopes)/to start (debate)/to raise (hopes)
途,途,tú,tu2,4,中等|四级,way/route/road
缓,緩,huǎn,huan3,4,中等|四级,slow/unhurried/sluggish/gradual/not tense/relaxed/to postpone/to defer/to stall/to stave off/to revive/to recuperate
谓,謂,wèi,wei4,4,中等|四级,to speak/to say/to name/to designate/meaning/sense
尺,尺,chǐ,chi3,4,中等|四级,"a Chinese foot/one-third of a meter/a ruler/a tape-measure/one of the three acupoints for measuring pulse in Chinese medicine/CL:支[zhi1],把[ba3]"
伞,繖傘,sǎn,san3,4,中等|四级,damask silk/variant of 傘|伞[san3]
迟,遲,chí,chi2,4,中等|四级,late/delayed/slow
招,招,zhāo,zhao1,4,中等|四级,to recruit/to provoke/to beckon/to incur/to infect/contagious/a move (chess)/a maneuver/device/trick/to confess
赞,贊,zàn,zan4,4,中等|四级,to patronize/to support/to praise/(Internet slang) to like (an online post on Facebook etc)
巴,巴,bā,ba1,4,中等|四级,"to long for/to wish/to cling to/to stick to/sth that sticks/close to/next to/spread open/informal abbr. for bus 巴士[ba1 shi4]/bar (unit of pressure)/nominalizing suffix on certain nouns, such as 尾巴[wei3 ba5], tail"
寸,寸,cùn,cun4,4,中等|四级,a unit of length/inch/thumb
智,智,zhì,zhi4,4,中等|四级,(literary) wise; wisdom
缩,縮,suō,suo1,4,中等|四级,to withdraw/to pull back/to contract/to shrink/to reduce/abbreviation/also pr. [su4]
矮,矮,ǎi,ai3,4,中等|四级,low/short (in length)
孙,孫,sūn,sun1,4,中等|四级,grandson/descendant
裹,裹,guǒ,guo3,4,中等|四级,to wrap around/bundle; parcel; package/to press into service; to pressgang; to make off with (sth)
暑,暑,shǔ,shu3,4,中等|四级,heat/hot weather/summer heat
瓜,瓜,guā,gua1,4,中等|四级,melon/gourd/squash
胸,胸,xiōng,xiong1,4,中等|四级,chest/bosom/heart/mind/thorax
寒,寒,hán,han2,4,中等|四级,cold/poor/to tremble
抄,抄,chāo,chao1,4,中等|四级,to make a copy/to plagiarize/to search and seize/to raid/to grab/to go off with/to take a shortcut/to make a turning move/to fold one's arms
骨,骨,gǔ,gu3,4,中等|四级,bone
豆,豆,dòu,dou4,4,中等|四级,"legume; pulse; bean; pea (CL:棵[ke1],粒[li4])/stemmed sacrificial vessel"
腐,腐,fǔ,fu3,4,中等|四级,decay/rotten
宁,寧,níng,ning2,4,中等|四级,variant of 寧|宁[ning2]
巾,巾,jīn,jin1,4,中等|四级,towel/general purpose cloth/women's headcovering (old)/Kangxi radical 50
耳,耳,ěr,er3,4,中等|四级,ear/handle (archaeology)/and that is all (Classical Chinese)
咸,咸鹹,xián,xian2,4,中等|四级,salted/salty/stingy/miserly
尾,尾,wěi,wei3,4,中等|四级,horse's tail/pointed posterior section of a locust etc
尚,尚,shàng,shang4,4,中等|四级,still/yet/to value/to esteem
赏,賞,shǎng,shang3,4,中等|四级,to bestow (a reward)/to give (to an inferior)/to hand down/a reward (bestowed by a superior)/to appreciate (beauty)
劲,勁,jìn,jin4,4,中等|四级,stalwart/sturdy/strong/powerful
袜,襪,wà,wa4,4,中等|四级,variant of 襪|袜[wa4]
辩,辯,biàn,bian4,4,中等|四级,to dispute/to debate/to argue/to discuss
叶,葉叶,yè,ye4,4,中等|四级,leaf/page/lobe/(historical) period/classifier for small boats
扬,揚,yáng,yang2,4,中等|四级,variant of 揚|扬[yang2]
递,遞,dì,di4,4,中等|四级,to hand over; to pass on; to deliver/(bound form) progressively; in the proper order
郎,郎,láng,lang2,4,中等|四级,(arch.) minister/official/noun prefix denoting function or status/a youth
虫,蟲,chóng,chong2,4,中等|四级,"lower form of animal life, including insects, insect larvae, worms and similar creatures/CL:條|条[tiao2],隻|只[zhi1]/(fig.) person with a particular undesirable characteristic"
亚,亞,yà,ya4,4,中等|四级,second/next to/inferior/sub-/Taiwan pr. [ya3]
矿,礦,kuàng,kuang4,4,中等|四级,variant of 礦|矿[kuang4]
泉,泉,quán,quan2,4,中等|四级,spring (small stream)/mouth of a spring/coin (archaic)
厘,釐,lí,li2,4,中等|四级,one hundredth/centi-
俗,俗,sú,su2,4,中等|四级,custom/convention/popular/common/coarse/vulgar/secular
毫,毫,háo,hao2,4,中等|四级,"hair/drawing brush/(in the) least/one thousandth/currency unit, 0.1 yuan"
雷,雷,léi,lei2,4,中等|四级,"thunder/(bound form) (military) mine, as in 地雷[di4 lei2] land mine/(coll.) to shock; to stun; to astound/(Tw) (coll.) spoiler/(Tw) (coll.) to reveal plot details to (sb)"
唯,唯,wéi,wei2,5,中等|五级,yes
织,織,zhī,zhi1,5,中等|五级,to weave
肯,肯,kěn,ken3,5,中等|五级,to agree; to consent/to be willing to
搞,搞,gǎo,gao3,5,中等|五级,to do/to make/to go in for/to set up/to get hold of/to take care of
控,控,kòng,kong4,5,中等|五级,to control/to accuse/to charge/to sue/to invert a container to empty it/(suffix) (slang) buff/enthusiast/devotee/-phile or -philia
拥,擁,yōng,yong1,5,中等|五级,to hold in one's arms; to embrace/to surround; to gather around/to throng; to swarm/(bound form) to support (as in 擁護|拥护[yong1 hu4])/(literary) to have; to possess/Taiwan pr. [yong3]
令,令,lìng,ling4,5,中等|五级,to order/to command/an order/warrant/writ/to cause/to make sth happen/virtuous/honorific title/season/government position (old)/type of short song or poem
析,析,xī,xi1,5,中等|五级,to separate/to divide/to analyze
杀,殺,shā,sha1,5,中等|五级,to kill/to murder/to attack/to weaken or reduce/to smart (dialect)/(used after a verb) extremely
版,版,bǎn,ban3,5,中等|五级,a register/block of printing/edition/version/page
享,享,xiǎng,xiang3,5,中等|五级,old variant of 享[xiang3]
键,鍵,jiàn,jian4,5,中等|五级,key (on a piano or computer keyboard)/button (on a mouse or other device)/chemical bond/linchpin
筑,筑築,zhù,zhu4,5,中等|五级,to build/to construct/to ram/to hit/Taiwan pr. [zhu2]
博,博,bó,bo2,5,中等|五级,old variant of 博[bo2]
弃,棄,qì,qi4,5,中等|五级,to abandon/to relinquish/to discard/to throw away
执,執,zhí,zhi2,5,中等|五级,to execute (a plan)/to grasp
恢,恢,huī,hui1,5,中等|五级,to restore/to recover/great
秒,秒,miǎo,miao3,5,中等|五级,second (unit of time)/arc second (angular measurement unit)/(coll.) instantly
竞,競,jìng,jing4,5,中等|五级,to compete/to contend/to struggle
冠,冠,guān,guan1,5,中等|五级,to put on a hat/to be first/to dub
军,軍,jūn,jun1,5,中等|五级,(bound form) army/military
抢,搶,qiǎng,qiang3,5,中等|五级,to fight over/to rush/to scramble/to grab/to rob/to snatch
旦,旦,dàn,dan4,5,中等|五级,"(literary) dawn; daybreak/dan, female role in Chinese opera (traditionally played by specialized male actors)"
幅,幅,fú,fu2,5,中等|五级,width/roll/classifier for textiles or pictures
拒,拒,jù,ju4,5,中等|五级,to resist/to repel/to refuse
央,央,yāng,yang1,5,中等|五级,center/end/to beg/to plead
辑,輯,jí,ji2,5,中等|五级,to gather up/to collect/to edit/to compile
协,協,xié,xie2,5,中等|五级,to cooperate/to harmonize/to help/to assist/to join
估,估,gū,gu1,5,中等|五级,used in 估衣[gu4 yi5]
颗,顆,kē,ke1,5,中等|五级,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
陪,陪,péi,pei2,5,中等|五级,to accompany/to keep sb company/to assist/old variant of 賠|赔[pei2]
摄,攝,shè,she4,5,中等|五级,(bound form) to take in; to absorb; to assimilate/to take (a photo)/(literary) to conserve (one's health)/(literary) to act for
掌,掌,zhǎng,zhang3,5,中等|五级,palm of the hand/sole of the foot/paw/horseshoe/to slap/to hold in one's hand/to wield
龄,齡,líng,ling2,5,中等|五级,"age/length of experience, membership etc"
域,域,yù,yu4,5,中等|五级,field/region/area/domain (taxonomy)
触,觸,chù,chu4,5,中等|五级,to touch/to make contact with sth/to stir up sb's emotions
邀,邀,yāo,yao1,5,中等|五级,to invite/to request/to intercept/to solicit/to seek
俱,俱,jù,ju4,5,中等|五级,(literary) all; both; entirely; without exception/(literary) to be together/(literary) to be alike
损,損,sǔn,sun3,5,中等|五级,to decrease; to lose/to damage; to harm/(coll.) to ridicule; to deride/(coll.) caustic; sarcastic; nasty; mean/one of the 64 hexagrams of the Book of Changes: ䷨
悉,悉,xī,xi1,5,中等|五级,in all cases/know
枪,槍,qiāng,qiang1,5,中等|五级,variant of 槍|枪[qiang1]/rifle/spear
击,擊,jī,ji1,5,中等|五级,to hit/to strike/to break/Taiwan pr. [ji2]
忆,憶,yì,yi4,5,中等|五级,to recollect/to remember/memory
册,冊,cè,ce4,5,中等|五级,book/booklet/classifier for books
启,啟,qǐ,qi3,5,中等|五级,to open/to start/to initiate/to enlighten or awaken/to state/to inform
贷,貸,dài,dai4,5,中等|五级,to lend on interest/to borrow/a loan/leniency/to make excuses/to pardon/to forgive
款,款,kuǎn,kuan3,5,中等|五级,"section/paragraph/funds/CL:筆|笔[bi3],個|个[ge4]/classifier for versions or models (of a product)"
软,軟,ruǎn,ruan3,5,中等|五级,variant of 軟|软[ruan3]
尊,尊,zūn,zun1,5,中等|五级,senior/of a senior generation/to honor/to respect/honorific/classifier for cannons and statues/ancient wine vessel
革,革,gé,ge2,5,中等|五级,animal hide/leather/to reform/to remove/to expel (from office)
剩,剩,shèng,sheng4,5,中等|五级,to remain/to be left/to have as remainder
尤,尤,yóu,you2,5,中等|五级,"outstanding/particularly, especially/a fault/to express discontentment against"
届,屆,jiè,jie4,5,中等|五级,"to arrive at (place or time)/period/to become due/classifier for events, meetings, elections, sporting fixtures, years (of graduation)"
偷,偷,tōu,tou1,5,中等|五级,to steal/to pilfer/to snatch/thief/stealthily
乏,乏,fá,fa2,5,中等|五级,short of/tired
呆,呆,dāi,dai1,5,中等|五级,foolish/stupid/expressionless/blank/to stay
鼓,鼓,gǔ,gu3,5,中等|五级,"drum/CL:通[tong4],面[mian4]/to drum/to strike/to rouse/to bulge/to swell"
励,勵,lì,li4,5,中等|五级,to encourage/to urge
甲,甲,jiǎ,jia3,5,中等|五级,"first of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/(used for an unspecified person or thing)/first (in a list, as a party to a contract etc)/letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc/armor plating/shell or carapace/(of the fingers or toes) nail/bladed leather or metal armor (old)/ranking system used in the Imperial examinations (old)/civil administration unit in the baojia 保甲[bao3 jia3] system (old)/ancient Chinese compass point: 75°"
频,頻,pín,pin2,5,中等|五级,frequency/frequently/repetitious
肤,膚,fū,fu1,5,中等|五级,skin
棒,棒,bàng,bang4,5,中等|五级,stick/club/cudgel/smart/capable/strong/wonderful/classifier for legs of a relay race
疯,瘋,fēng,feng1,5,中等|五级,insane/mad/wild
狂,狂,kuáng,kuang2,5,中等|五级,mad/wild/violent
矛,矛,máo,mao2,5,中等|五级,spear/lance/pike
盾,盾,dùn,dun4,5,中等|五级,"shield/(currency) Vietnamese dong/currency unit of several countries (Indonesian rupiah, Dutch gulden etc)"
丢,丟,diū,diu1,5,中等|五级,to lose/to put aside/to throw
仔,仔,zǎi,zai3,5,中等|五级,meticulous/(of domestic animals or fowls) young
暂,暫蹔,zàn,zan4,5,中等|五级,to scurry/variant of 暫|暂[zan4]
德,德,dé,de2,5,中等|五级,variant of 德[de2]
惜,惜,xī,xi1,5,中等|五级,to cherish/to begrudge/to pity/Taiwan pr. [xi2]
签,籤籖簽,qiān,qian1,5,中等|五级,"inscribed bamboo stick (used in divination, gambling, drawing lots etc)/small wood sliver/label/tag"
傻,傻,shǎ,sha3,5,中等|五级,foolish
欣,欣,xīn,xin1,5,中等|五级,happy
射,射,shè,she4,5,中等|五级,to shoot/to launch/to allude to/radio- (chemistry)
凭,憑,píng,ping2,5,中等|五级,"to lean against/to rely on/on the basis of/no matter (how, what etc)/proof"
详,詳,xiáng,xiang2,5,中等|五级,detailed/comprehensive
洞,洞,dòng,dong4,5,中等|五级,cave/hole/zero (unambiguous spoken form when spelling out numbers)/CL:個|个[ge4]
撞,撞,zhuàng,zhuang4,5,中等|五级,to knock against/to bump into/to run into/to meet by accident
骗,騙,piàn,pian4,5,中等|五级,to cheat/to swindle/to deceive/to get on (a horse etc) by swinging one leg over
吓,嚇,xià,xia4,5,中等|五级,to frighten/to scare
曲,曲麴,qū,qu1,5,中等|五级,yeast/Aspergillus (includes many common molds)/Taiwan pr. [qu2]
鬼,鬼,guǐ,gui3,5,中等|五级,disembodied spirit; ghost; devil/(suffix) person with a certain vice or addiction etc/sly; crafty; resourceful (variant of 詭|诡[gui3])/one of the 28 constellations of ancient Chinese astronomy
库,庫,kù,ku4,5,中等|五级,warehouse/storehouse/(file) library
玻,玻,bō,bo1,5,中等|五级,glass
璃,琍璃,lí,li2,5,中等|五级,variant of 璃[li2]
贸,貿,mào,mao4,5,中等|五级,commerce/trade
尝,嘗,cháng,chang2,5,中等|五级,old variant of 嘗|尝[chang2]
吨,噸,dūn,dun1,5,中等|五级,ton (loanword)/Taiwan pr. [dun4]
逃,逃,táo,tao2,5,中等|五级,to escape/to run away/to flee
聪,聰,cōng,cong1,5,中等|五级,(literary) acute (of hearing)/(bound form) clever; intelligent; sharp
毒,毒,dú,du2,5,中等|五级,poison/to poison/poisonous/malicious/cruel/fierce/narcotics
彼,彼,bǐ,bi3,5,中等|五级,that/those/(one) another
沟,溝,gōu,gou1,5,中等|五级,ditch/gutter/groove/gully/ravine/CL:道[dao4]
乘,乘,chéng,cheng2,5,中等|五级,old variant of 乘[cheng2]
润,潤,rùn,run4,5,中等|五级,"moist; glossy; sleek/to moisten; to lubricate/to embellish; to enhance/profit; remuneration/(neologism c. 2021) (slang) (loanword from ""run"") to emigrate (in order to flee adverse conditions)"
骂,罵,mà,ma4,5,中等|五级,variant of 罵|骂[ma4]
欠,欠,qiàn,qian4,5,中等|五级,to owe/to lack/(literary) to be deficient in/(bound form) yawn/to raise slightly (a part of one's body)
漫,漫,màn,man4,5,中等|五级,free/unrestrained/to inundate
厉,厲,lì,li4,5,中等|五级,strict/severe
私,私,sī,si1,5,中等|五级,personal/private/selfish
硬,硬,yìng,ying4,5,中等|五级,hard; stiff; solid/(fig.) strong; firm/resolutely; uncompromisingly/laboriously; with great difficulty/good (quality); able (person)/(of food) filling; substantial
恨,恨,hèn,hen4,5,中等|五级,to hate/to regret
搜,搜,sōu,sou1,5,中等|五级,to search
索,索,suǒ,suo3,5,中等|五级,to search/to demand/to ask/to exact/large rope/isolated
劳,勞,láo,lao2,5,中等|五级,to toil/labor/laborer/to put sb to trouble (of doing sth)/meritorious deed/to console (Taiwan pr. [lao4] for this sense)
稍,稍,shāo,shao1,5,中等|五级,see 稍息[shao4 xi1]
违,違,wéi,wei2,5,中等|五级,to disobey/to violate/to separate/to go against
拼,拼,pīn,pin1,5,中等|五级,to piece together/to join together/to stake all/adventurous/at the risk of one's life/to spell
怜,憐,lián,lian2,5,中等|五级,to pity
吐,吐,tǔ,tu3,5,中等|五级,to vomit/to throw up
厅,廳,tīng,ting1,5,中等|五级,(reception) hall/living room/office/provincial government department
堆,堆,duī,dui1,5,中等|五级,to pile up/to heap up/a mass/pile/heap/stack/large amount
扔,扔,rēng,reng1,5,中等|五级,to throw/to throw away
滑,滑,huá,hua2,5,中等|五级,to slip; to slide/slippery; smooth/sly; slippery; not to be trusted
污,污,wū,wu1,5,中等|五级,dirty/filthy/foul/corrupt/to smear/to defile/dirt/filth
染,染,rǎn,ran3,5,中等|五级,to dye/to catch (a disease)/to acquire (bad habits etc)/to contaminate/to add color washes to a painting
恋,戀,liàn,lian4,5,中等|五级,to feel attached to/to long for/to love
辛,辛,xīn,xin1,5,中等|五级,"(of taste) hot or pungent/hard/laborious/suffering/eighth in order/eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/letter ""H"" or Roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc/ancient Chinese compass point: 285°/octa"
躲,躲,duǒ,duo3,5,中等|五级,to hide/to dodge/to avoid
涨,漲,zhǎng,zhang3,5,中等|五级,to swell/to distend
弹,彈,dàn,dan4,5,中等|五级,to pluck (a string)/to play (a string instrument)/to spring or leap/to shoot (e.g. with a catapult)/(of cotton) to fluff or tease/to flick/to flip/to accuse/to impeach/elastic (of materials)
返,返,fǎn,fan3,5,中等|五级,to return (to)
驾,駕,jià,jia4,5,中等|五级,to harness/to draw (a cart etc)/to drive/to pilot/to sail/to ride/your good self/prefixed word denoting respect (polite 敬辭|敬辞[jing4 ci2])
驶,駛,shǐ,shi3,5,中等|五级,"(of a vehicle, horse etc) to go fast; to speed/(of a vehicle) to run; to go/(of a boat) to sail"
虎,虎,hǔ,hu3,5,中等|五级,tiger/CL:隻|只[zhi1]
锁,鎖,suǒ,suo3,5,中等|五级,old variant of 鎖|锁[suo3]
瘦,瘦,shòu,shou4,5,中等|五级,thin/to lose weight/(of clothing) tight/(of meat) lean/(of land) unproductive
猜,猜,cāi,cai1,5,中等|五级,to guess
厨,廚,chú,chu2,5,中等|五级,kitchen
询,詢,xún,xun2,5,中等|五级,to ask about/to inquire about
挤,擠,jǐ,ji3,5,中等|五级,to crowd in/to cram in/to force others aside/to press/to squeeze/to find (time in one's busy schedule)
宿,宿,sù,su4,5,中等|五级,constellation
舍,舍捨,shě,she3,5,中等|五级,residence
邻,鄰,lín,lin2,5,中等|五级,variant of 鄰|邻[lin2]
碎,碎,suì,sui4,5,中等|五级,(transitive or intransitive verb) to break into pieces; to shatter; to crumble/broken; fragmentary; scattered/garrulous
插,插,chā,cha1,5,中等|五级,old variant of 插[cha1]
咬,咬,yǎo,yao3,5,中等|五级,variant of 咬[yao3]
挡,擋,dǎng,dang3,5,中等|五级,variant of 擋|挡[dang3]
辈,輩,bèi,bei4,5,中等|五级,lifetime/generation/group of people/class/classifier for generations/(literary) classifier for people
委,委,wěi,wei3,5,中等|五级,to entrust/to cast aside/to shift (blame etc)/to accumulate/roundabout/winding/dejected/listless/committee member/council/end/actually/certainly
托,托託,tuō,tuo1,5,中等|五级,to trust/to entrust/to be entrusted with/to act as trustee
盒,盒,hé,he2,5,中等|五级,small box/case
赔,賠,péi,pei2,5,中等|五级,to compensate for loss/to indemnify/to suffer a financial loss
偿,償,cháng,chang2,5,中等|五级,to repay/to compensate for/to recompense/to fulfill (hopes etc)
罚,罰,fá,fa2,5,中等|五级,variant of 罰|罚[fa2]
敏,敏,mǐn,min3,5,中等|五级,quick; nimble; agile/quick-witted; smart
厌,厭,yàn,yan4,5,中等|五级,(bound form) to loathe; to be fed up with/(literary) to satiate; to satisfy
劝,勸,quàn,quan4,5,中等|五级,to advise/to urge/to try to persuade/to exhort/to console/to soothe
艰,艱,jiān,jian1,5,中等|五级,difficult/hard/hardship
烂,爛,làn,lan4,5,中等|五级,soft; mushy/well-cooked and soft/to rot; to decompose/rotten/worn out/chaotic; messy/utterly; thoroughly/crappy; bad
肃,肅,sù,su4,5,中等|五级,respectful/solemn/to eliminate/to clean up
悔,悔,huǐ,hui3,5,中等|五级,(bound form) to regret; to repent
滚,滾,gǔn,gun3,5,中等|五级,to boil/to roll/to take a hike/Get lost!
熊,熊,xióng,xiong2,5,中等|五级,bear/(coll.) to scold; to rebuke/(coll.) weak; incapable
绕,繞,rào,rao4,5,中等|五级,"variant of 繞|绕[rao4], to rotate around/to spiral/to move around/to go round (an obstacle)/to by-pass/to make a detour"
饰,飾,shì,shi4,5,中等|五级,decoration/ornament/to decorate/to adorn/to hide/to conceal (a fault)/excuse (to hide a fault)/to play a role (in opera)/to impersonate
忍,忍,rěn,ren3,5,中等|五级,to bear/to endure/to tolerate/to restrain oneself
扮,扮,bàn,ban4,5,中等|五级,to disguise oneself as/to dress up/to play (a role)/to put on (an expression)
泛,泛,fàn,fan4,5,中等|五级,"(bound form) general/non-specific/extensive/pan-/to flood/(literary) to float about/to be suffused with (a color, emotion, odor etc)"
拆,拆,chāi,chai1,5,中等|五级,to tear open/to tear down/to tear apart/to open
饮,飲,yǐn,yin3,5,中等|五级,to give (animals) water to drink
醉,醉,zuì,zui4,5,中等|五级,intoxicated
裁,裁,cái,cai2,5,中等|五级,to cut out (as a dress)/to cut/to trim/to reduce/to diminish/to cut back (e.g. on staff)/decision/judgment
偶,偶,ǒu,ou3,5,中等|五级,accidental/image/pair/mate
尔,爾,ěr,er3,5,中等|五级,thus/so/like that/you/thou
夹,夾,jiā,jia1,5,中等|五级,variant of 夾|夹[jia2]
怨,怨,yuàn,yuan4,5,中等|五级,to blame/(bound form) resentment; hatred; grudge
慰,慰,wèi,wei4,5,中等|五级,to comfort/to console/to reassure
蔬,蔬,shū,shu1,5,中等|五级,vegetables
朵,朵,duǒ,duo3,5,中等|五级,variant of 朵[duo3]
遵,遵,zūn,zun1,5,中等|五级,to observe/to obey/to follow/to comply with
震,震,zhèn,zhen4,5,中等|五级,"to shake/to vibrate/to jolt/to quake/excited/shocked/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing thunder/☳"
锅,鍋,guō,guo1,5,中等|五级,"pot; pan; wok; cauldron/pot-shaped thing/CL:口[kou3],隻|只[zhi1]"
惠,惠,huì,hui4,5,中等|五级,(bound form) act of kindness (from a superior)/(honorific prefix) kind (as in 惠顧|惠顾[hui4 gu4])
扇,扇,shàn,shan4,5,中等|五级,"fan/sliding, hinged or detachable flat part of sth/classifier for doors, windows etc"
摔,摔,shuāi,shuai1,5,中等|五级,to throw down/to fall/to drop and break
敲,敲,qiāo,qiao1,5,中等|五级,to hit/to strike/to tap/to rap/to knock/to rip sb off/to overcharge
谊,誼,yì,yi4,5,中等|五级,friendship/also pr. [yi2]
闲,閑閒,xián,xian2,5,中等|五级,idle/unoccupied/leisure
抬,抬,tái,tai2,5,中等|五级,to lift/to raise/(of two or more persons) to carry
糕,糕,gāo,gao1,5,中等|五级,variant of 糕[gao1]
辞,辭,cí,ci2,5,中等|五级,to resign/to dismiss/to decline/to take leave/ballad (archaic poetic genre)/variant of 詞|词[ci2]
耐,耐,nài,nai4,5,中等|五级,(bound form) to bear; to endure; to withstand
鼻,鼻,bí,bi2,5,中等|五级,nose
拾,拾,shí,shi2,5,中等|五级,to pick up/to collate or arrange/ten (banker's anti-fraud numeral)
瞧,瞧,qiáo,qiao2,5,中等|五级,to look at/to see/to see (a doctor)/to visit
诊,診,zhěn,zhen3,5,中等|五级,to examine or treat medically
宾,賓,bīn,bin1,5,中等|五级,visitor/guest/object (in grammar)
臭,臭,chòu,chou4,5,中等|五级,sense of smell/smell bad
池,池,chí,chi2,5,中等|五级,pond/reservoir/moat
挣,掙,zhēng,zheng1,5,中等|五级,to struggle to get free/to strive to acquire/to make (money)
蛇,蛇,shé,she2,5,中等|五级,snake/serpent/CL:條|条[tiao2]
脆,脆,cuì,cui4,5,中等|五级,brittle/fragile/crisp/crunchy/clear and loud voice/neat
紫,紫,zǐ,zi3,5,中等|五级,purple/violet
悲,悲,bēi,bei1,5,中等|五级,sad/sadness/sorrow/grief
奈,奈,nài,nai4,5,中等|五级,"used in expressions that convey frustration and futility, such as 無奈|无奈[wu2 nai4] and 莫可奈何|莫可奈何[mo4 ke3 nai4 he2] (literary)/used for its phonetic value in writing foreign words"
珍,珍,zhēn,zhen1,5,中等|五级,variant of 珍[zhen1]
拔,拔,bá,ba2,5,中等|五级,to pull up/to pull out/to draw out by suction/to select/to pick/to stand out (above level)/to surpass/to seize
糟,糟,zāo,zao1,5,中等|五级,dregs/draff/pickled in wine/rotten/messy/ruined
肌,肌,jī,ji1,5,中等|五级,(bound form) flesh; muscle
胃,胃,wèi,wei4,5,中等|五级,stomach/CL:個|个[ge4]
剪,剪,jiǎn,jian3,5,中等|五级,scissors/shears/clippers/CL:把[ba3]/to cut with scissors/to trim/to wipe out or exterminate
胆,膽,dǎn,dan3,5,中等|五级,"gall bladder/courage/guts/gall/inner container (e.g. bladder of a football, inner container of a thermos)"
喷,噴,pēn,pen1,5,中等|五级,"(of a smell) strong/peak season (of a crop)/(classifier for the ordinal number of a crop, in the context of multiple harvests)"
匹,匹,pǐ,pi3,5,中等|五级,variant of 匹[pi3]/classifier for cloth: bolt
傅,傅,fù,fu4,5,中等|五级,(bound form) instructor/(literary) to instruct/to attach/to apply (makeup etc)
琴,琴,qín,qin2,5,中等|五级,"variant of 琴[qin2], guqin or zither"
卧,臥,wò,wo4,5,中等|五级,to lie/to crouch
肩,肩,jiān,jian1,5,中等|五级,shoulder/to shoulder (responsibilities etc)
灾,災,zāi,zai1,5,中等|五级,old variant of 災|灾[zai1]
贺,賀,hè,he4,5,中等|五级,to congratulate
脾,脾,pí,pi2,5,中等|五级,spleen
汗,汗,hàn,han4,5,中等|五级,"perspiration/sweat/CL:滴[di1],頭|头[tou2],身[shen1]/to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)"
幽,幽,yōu,you1,5,中等|五级,remote/hidden away/secluded/serene/peaceful/to imprison/in superstition indicates the underworld/ancient district spanning Liaonang and Hebei provinces
览,覽,lǎn,lan3,5,中等|五级,to look at/to view/to read
冻,凍,dòng,dong4,5,中等|五级,to freeze/to feel very cold/aspic or jelly
献,獻,xiàn,xian4,5,中等|五级,to offer/to present/to dedicate/to donate/to show/to put on display/worthy person (old)
逻,邏,luó,luo2,5,中等|五级,patrol
摩,摩,mó,mo2,5,中等|五级,to rub
鼠,鼠,shǔ,shu3,5,中等|五级,(bound form) rat; mouse
扰,擾,rǎo,rao3,5,中等|五级,to disturb
仿,彷仿,fǎng,fang3,5,中等|五级,seemingly
扶,扶,fú,fu2,5,中等|五级,to support with the hand/to help sb up/to support oneself by holding onto something/to help
漏,漏,lòu,lou4,5,中等|五级,to leak/to divulge/to leave out by mistake/waterclock or hourglass (old)
戒,戒,jiè,jie4,5,中等|五级,to guard against/to exhort/to admonish or warn/to give up or stop doing sth/Buddhist monastic discipline/ring (for a finger)
豪,豪,háo,hao2,5,中等|五级,grand/heroic
敬,敬,jìng,jing4,5,中等|五级,(bound form) respectful; to respect/to offer politely
钢,鋼,gāng,gang1,5,中等|五级,steel
丑,丑醜,chǒu,chou3,5,中等|五级,shameful/ugly/disgraceful
眠,眠,mián,mian2,5,中等|五级,to sleep/to hibernate
