hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions
引,引,yǐn,yin3,4,中等|四级,"to draw (e.g. a bow)/to pull/to stretch sth/to extend/to lengthen/to involve or implicate in/to attract/to lead/to guide/to leave/to provide evidence or justification for/old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters"
盘,盤,pán,pan2,4,中等|四级,"plate/dish/tray/board/hard drive (computing)/to build/to coil/to check/to examine/to transfer (property)/to make over/classifier for food: dish, helping/to coil/classifier for coils of wire/classifier for games of chess"
企,企,qǐ,qi3,4,中等|四级,(bound form) to stand on tiptoe and look; to anticipate; to look forward to/abbr. for 企業|企业[qi3 ye4]/Taiwan pr. [qi4]
局,侷局,jú,ju2,4,中等|四级,cramped; narrow
轮,輪,lún,lun2,4,中等|四级,"wheel; disk; ring/steamship/to take turns; to rotate/classifier for big round objects: disk, or recurring events: round, turn"
致,緻致,zhì,zhi4,4,中等|四级,to send/to devote/to deliver/to cause/to convey
遇,遇,yù,yu4,4,中等|四级,(bound form) to encounter; to happen upon; to meet unplanned/(bound form) to treat; to receive
妻,妻,qī,qi1,4,中等|四级,to marry off (a daughter)
载,載,zài,zai4,4,中等|四级,to carry/to convey/to load/to hold/to fill up/and/also/as well as/simultaneously
梦,夢,mèng,meng4,4,中等|四级,"dream (CL:場|场[chang2],個|个[ge4])/(bound form) to dream"
申,申,shēn,shen1,4,中等|四级,"to extend/to state/to explain/9th earthly branch: 3-5 p.m., 7th solar month (7th August-7th September), year of the Monkey/ancient Chinese compass point: 240°"
免,免,miǎn,mian3,4,中等|四级,old variant of 絻[wen4]
型,型,xíng,xing2,4,中等|四级,mold/type/style/model
销,銷,xiāo,xiao1,4,中等|四级,to melt (metal)/to cancel; to annul/to sell/to expend; to spend/pin; bolt/to fasten with a pin or bolt
售,售,shòu,shou4,4,中等|四级,to sell/to make or carry out (a plan or intrigue etc)
战,戰,zhàn,zhan4,4,中等|四级,to fight/fight/war/battle
倍,倍,bèi,bei4,4,中等|四级,"(two, three etc) -fold/times (multiplier)/double/to increase or multiply"
授,授,shòu,shou4,4,中等|四级,(bound form) to confer; to give/(bound form) to teach; to instruct/(literary) to appoint
巨,巨,jù,ju4,4,中等|四级,very large; huge; tremendous; gigantic
既,既,jì,ji4,4,中等|四级,already/since/both... (and...)
稳,穩,wěn,wen3,4,中等|四级,settled; steady; stable
抱,抱,bào,bao4,4,中等|四级,to hold/to carry (in one's arms)/to hug/to embrace/to surround/to cherish/(coll.) (of clothes) to fit nicely
丈,丈,zhàng,zhang4,4,中等|四级,"measure of length, ten Chinese feet (3.3 m)/to measure/husband/polite appellation for an older male"
址,阯址,zhǐ,zhi3,4,中等|四级,foundation of a building (variant of 址[zhi3])/islet (variant of 沚[zhi3])
源,源,yuán,yuan2,4,中等|四级,root/source/origin
毕,畢,bì,bi4,4,中等|四级,the whole of/to finish/to complete/complete/full/finished
承,承,chéng,cheng2,4,中等|四级,to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive
竟,竟,jìng,jing4,4,中等|四级,unexpectedly/actually/to go so far as to/indeed
寻,尋,xún,xun2,4,中等|四级,to search/to look for/to seek
